Tile,Grid position,Oysters touching,8/27 scale,8/27 length A,8/27 length B,10/14 scale,10/14 length A,10/14 length B,11/3 scale,11/3 length A,11/3 length B,Tray,Stack
HCA10,1,,288,0.137,0.125,198,0.648,0.638,237,0.844,0.85,3,1
HCA10,2,,,0.237,0.246,,1.113,1.108,,1.34,1.35,,
HCA11,2,,,0.205,0.228,,0.911,0.929,,1.086,1.079,,
HCA11,7,,,0.083,0.085,,0.296,0.309,,0.385,0.36,,
HCA11,9,,,0.093,0.113,,0.557,0.55,,0.725,0.722,,
HCA11,10,,,0.153,0.174,,0.668,0.659,,0.917,0.955,,
HCA11,12,,,0.257,0.247,,1.078,1.073,,1.261,1.257,,
HCA12,3,,,0.166,0.175,,0.683,0.699,,0.911,0.906,,
HCA12,5,,,0.159,0.173,,0.424,0.404,,0.551,0.535,,
HCA13,4,,,0.148,0.151,,0.668,0.68,,0.954,0.99,,
HCA13,5,,,0.204,0.198,,0.593,0.568,,0.574,0.561,,
HCA13,7,,,0.132,0.127,,0.573,0.555,,0.796,0.797,,
HCA13,12,,,0.153,0.163,,0.494,0.493,,0.679,0.706,,
HCA13,13,,,0.128,0.131,,0.813,0.81,,0.878,0.908,,
HCA14,2,,,0.16,0.169,,0.307,0.298,,,,,
HCA14,3,,,0.211,0.197,,0.311,0.311,,,,,
HCA14,4,,,0.212,0.2,,0.363,0.356,,,,,
HCA15,1,,220,0.089,0.082,198,0.475,0.475,234,0.799,0.79,1,1
HCA3,4,,,0.175,0.16,,0.32,0.339,,,,,
HCA3,6,,,0.196,0.189,,0.308,0.315,,,,,
HCA3,8,,,0.136,0.127,,0.288,0.304,,,,,
HCA3,9,,,0.203,0.199,,0.358,0.341,,,,,
HCA4,10,,,0.184,0.2,,0.212,0.218,,,,,
HCA5,1,,235,0.227,0.237,188,0.95,0.94,226,1.16,1.12,,
HCA5,2,,,0.121,0.13,,0.29,0.31,,0.32,0.35,,
HCA5,3,,,0.109,0.109,,0.3,0.3,,0.49,0.49,,
